CODIGO MUNICIPIO;LATITUDE;LONGITUDE;;;;;CÓDIGO MUNICÍPIO;UF;NOME MUNICIPIO;LAT;LONG
150309;-3.84;-49.09;;;;;150309;PA;Goianésia do Pará;-3.84;-49.09
150310;-1.4;-51.63;;;;;150310;PA;Gurupá;-1.4;-51.63
150320;-1.12;-47.61;;;;;150320;PA;Igarapé-Açu;-1.12;-47.61
150330;-1.97;-48.95;;;;;150330;PA;Igarapé-Miri;-1.97;-48.95
150340;-1.42;-47.91;;;;;150340;PA;Inhangapi;-1.42;-47.91
150345;-2.55;-47.49;;;;;150345;PA;Ipixuna do Pará;-2.55;-47.49
150350;-1.76;-47.43;;;;;150350;PA;Irituia;-1.76;-47.43
150360;-4.27;-55.98;;;;;150360;PA;Itaituba;-4.27;-55.98
150370;-5.13;-49.32;;;;;150370;PA;Itupiranga;-5.13;-49.32
150375;-6.22;-57.75;;;;;150375;PA;Jacareacanga;-6.22;-57.75
150380;-4.45;-49.11;;;;;150380;PA;Jacundá;-4.45;-49.11
150390;-2.15;-56.09;;;;;150390;PA;Juruti;-2.15;-56.09
150400;-1.89;-49.38;;;;;150400;PA;Limoeiro do Ajuru;-1.89;-49.38
150405;-2.05;-47.55;;;;;150405;PA;Mãe do Rio;-2.05;-47.55
150410;-0.79;-47.59;;;;;150410;PA;Magalhães Barata;-0.79;-47.59
150420;-5.36;-49.11;;;;;150420;PA;Marabá;-5.36;-49.11
150430;-0.76;-47.45;;;;;150430;PA;Maracanã;-0.76;-47.45
150440;-0.71;-47.69;;;;;150440;PA;Marapanim;-0.71;-47.69
150442;-1.35;-48.34;;;;;150442;PA;Marituba;-1.35;-48.34
150445;-3.44;-52.88;;;;;150445;PA;Medicilândia;-3.44;-52.88
150450;-1.8;-50.71;;;;;150450;PA;Melgaço;-1.8;-50.71
150460;-2.58;-49.5;;;;;150460;PA;Mocajuba;-2.58;-49.5
150470;-1.88;-48.76;;;;;150470;PA;Moju;-1.88;-48.76
150475;-2.68;-54.65;;;;;150480;PA;Monte Alegre;-2;-54.06
150480;-2;-54.06;;;;;150490;PA;Muaná;-1.52;-49.21
150490;-1.52;-49.21;;;;;150495;PA;Nova Esperança do Piriá;-2.26;-46.96
150495;-2.26;-46.96;;;;;150497;PA;Nova Ipixuna;-4.92;-49.07
150497;-4.92;-49.07;;;;;150500;PA;Nova Timboteua;-1.2;-47.38
150500;-1.2;-47.38;;;;;150503;PA;Novo Progresso;-7.14;-55.38
150503;-7.14;-55.38;;;;;150506;PA;Novo Repartimento;-4.33;-49.79
150506;-4.33;-49.79;;;;;150510;PA;Óbidos;-1.91;-55.51
150510;-1.91;-55.51;;;;;150520;PA;Oeiras do Pará;-2;-49.85
150520;-2;-49.85;;;;;150530;PA;Oriximiná;-1.76;-55.86
150530;-1.76;-55.86;;;;;150540;PA;Ourém;-1.54;-47.11
150540;-1.54;-47.11;;;;;150543;PA;Ourilândia do Norte;-6.75;-51.08
150543;-6.75;-51.08;;;;;150548;PA;Pacajá;-3.83;-50.63
150548;-3.83;-50.63;;;;;150549;PA;Palestina do Pará;-5.74;-48.31
150549;-5.74;-48.31;;;;;150550;PA;Paragominas;-2.99;-47.35
150550;-2.99;-47.35;;;;;150553;PA;Parauapebas;-6.06;-49.9
150553;-6.06;-49.9;;;;;150555;PA;Pau d`Arco;-7.83;-50.04
150555;-7.83;-50.04;;;;;150560;PA;Peixe-Boi;-1.19;-47.31
150560;-1.19;-47.31;;;;;150563;PA;Piçarra;-6.43;-48.87
150563;-6.43;-48.87;;;;;150565;PA;Placas;-3.86;-54.22
150565;-3.86;-54.22;;;;;150570;PA;Ponta de Pedras;-1.38;-48.87
150570;-1.38;-48.87;;;;;150580;PA;Portel;-1.93;-50.82
150580;-1.93;-50.82;;;;;150590;PA;Porto de Moz;-1.74;-52.23
150590;-1.74;-52.23;;;;;150600;PA;Prainha;-1.79;-53.47
150600;-1.79;-53.47;;;;;150610;PA;Primavera;-0.94;-47.11
150610;-0.94;-47.11;;;;;150611;PA;Quatipuru;-0.9;-47
150611;-0.9;-47;;;;;150613;PA;Redenção;-8.02;-50.03
150613;-8.02;-50.03;;;;;150616;PA;Rio Maria;-7.31;-50.04
150616;-7.31;-50.04;;;;;150618;PA;Rondon do Pará;-4.77;-48.06
150618;-4.77;-48.06;;;;;150619;PA;Rurópolis;-4.09;-54.9
150619;-4.09;-54.9;;;;;150620;PA;Salinópolis;-0.62;-47.35
150620;-0.62;-47.35;;;;;150630;PA;Salvaterra;-0.75;-48.51
150630;-0.75;-48.51;;;;;150635;PA;Santa Bárbara do Pará;-1.22;-48.29
150635;-1.22;-48.29;;;;;150640;PA;Santa Cruz do Arari;-0.66;-49.16
150640;-0.66;-49.16;;;;;150650;PA;Santa Isabel do Pará;-1.29;-48.16
150650;-1.29;-48.16;;;;;150655;PA;Santa Luzia do Pará;-1.51;-46.94
150655;-1.51;-46.94;;;;;150658;PA;Santa Maria das Barreiras;-8.85;-49.72
150658;-8.85;-49.72;;;;;150660;PA;Santa Maria do Pará;-1.35;-47.57
150660;-1.35;-47.57;;;;;150670;PA;Santana do Araguaia;-9.5;-50.62
150670;-9.5;-50.62;;;;;150680;PA;Santarém;-2.44;-54.7
150680;-2.44;-54.7;;;;;150690;PA;Santarém Novo;-0.92;-47.39
150690;-0.92;-47.39;;;;;150700;PA;Santo Antônio do Tauá;-1.15;-48.12
150700;-1.15;-48.12;;;;;150710;PA;São Caetano de Odivelas;-0.75;-48.02
150710;-0.75;-48.02;;;;;150715;PA;São Domingos do Araguaia;-5.53;-48.73
150715;-5.53;-48.73;;;;;150720;PA;São Domingos do Capim;-1.67;-47.77
150720;-1.67;-47.77;;;;;150730;PA;São Félix do Xingu;-6.64;-51.99
150730;-6.64;-51.99;;;;;150740;PA;São Francisco do Pará;-1.16;-47.79
150740;-1.16;-47.79;;;;;150745;PA;São Geraldo do Araguaia;-6.4;-48.55
150745;-6.4;-48.55;;;;;150746;PA;São João da Ponta;-0.85;-47.91
150746;-0.85;-47.91;;;;;150747;PA;São João de Pirabas;-0.76;-47.17
150747;-0.76;-47.17;;;;;150750;PA;São João do Araguaia;-5.35;-48.79
150750;-5.35;-48.79;;;;;150760;PA;São Miguel do Guamá;-1.62;-47.48
150760;-1.62;-47.48;;;;;150770;PA;São Sebastião da Boa Vista;-1.71;-49.54
150770;-1.71;-49.54;;;;;150775;PA;Sapucaia;-6.94;-49.68
150775;-6.94;-49.68;;;;;150780;PA;Senador José Porfírio;-2.59;-51.95
150780;-2.59;-51.95;;;;;150790;PA;Soure;-0.71;-48.52
150790;-0.71;-48.52;;;;;150795;PA;Tailândia;-2.94;-48.95
150795;-2.94;-48.95;;;;;150796;PA;Terra Alta;-1.03;-47.9
150796;-1.03;-47.9;;;;;150797;PA;Terra Santa;-2.1;-56.48
150797;-2.1;-56.48;;;;;150800;PA;Tomé-Açu;-2.41;-48.15
150800;-2.41;-48.15;;;;;150803;PA;Tracuateua;-1.07;-46.89
150803;-1.07;-46.89;;;;;150805;PA;Trairão;-4.57;-55.94
150805;-4.57;-55.94;;;;;150808;PA;Tucumã;-6.74;-51.16
150808;-6.74;-51.16;;;;;150810;PA;Tucuruí;-3.76;-49.67
150810;-3.76;-49.67;;;;;150812;PA;Ulianópolis;-3.75;-47.5
150812;-3.75;-47.5;;;;;150815;PA;Uruará;-3.71;-53.73
150815;-3.71;-53.73;;;;;150820;PA;Vigia;-0.85;-48.14
150820;-0.85;-48.14;;;;;150830;PA;Viseu;-1.19;-46.13
150830;-1.19;-46.13;;;;;150835;PA;Vitória do Xingu;-2.88;-52
150835;-2.88;-52;;;;;150840;PA;Xinguara;-7.09;-49.94
150840;-7.09;-49.94;;;;;160005;AP;Serra do Navio;0.89;-52
160005;0.89;-52;;;;;160010;AP;Amapá;2.05;-50.79
160010;2.05;-50.79;;;;;160015;AP;Pedra Branca do Amaparí;0.77;-51.94
160015;0.77;-51.94;;;;;160020;AP;Calçoene;2.49;-50.94
160020;2.49;-50.94;;;;;160021;AP;Cutias;0.98;-50.8
160021;0.98;-50.8;;;;;160023;AP;Ferreira Gomes;0.85;-51.18
160023;0.85;-51.18;;;;;160025;AP;Itaubal;-0.59;-50.67
